status_id,status_message,link_name,status_type,status_link,status_time,num_likes,num_comments,num_shares
15087023444_272703739435721,"b""No matter the time\xe2\x80\x94day or night\xe2\x80\x94players like LeBron James know hard work and dedication are what the game's built on.\n\nAnd when you live for the game, #BasketballNeverStops. \n\nDo you live to hoop?""",b'Basketball Never Stops: LeBron 24/7',link,http://www.youtube.com/watch?v=SPBkaCNw7XM,2011-11-01 14:13:09,0,165,372
15087023444_308861829128158,"b'From Harlem to China, LeBron to Coach K, high schoolers to H.OR.S.E. players...""Basketball Never Stops"" celebrates all athletes\' unrelenting passion and dedication to the game. \n\nCheck out the Nike Basketball hub and prove #BasketballNeverStops for you: http://on.fb.me/BNSHUB'",b'Nikebasketball - Basketball Never Stops',link,http://www.youtube.com/watch?v=k1c_It0ekC0,2011-10-29 10:48:00,0,122,435
15087023444_269990513039917,"b'A fusion of the best elements that Nike Basketball has to offer, the LEBRON 9 is unlike anything you have experienced.\n\nLock down. Lift off. Revolutionize your game. '",b'LEBRON 9: Big Bang',link,http://www.youtube.com/watch?v=liHWygx8bSw,2011-10-24 11:18:30,0,197,359
15087023444_209265009145449,"b'Even at 6\'9"", it\'s never too late to get in touch with your inner kid on the court. \n\nKevin Durant visited the Boys & Girls Clubs of Oklahoma County yesterday to talk about his summer and the unreleased KD IV. \n\nWe hooked him up with the limited edition Nerf-inspired colorway to rock in the game in OKC tonight. \n\nCheck out the KD IV and tell us what you think.'",b'Nike Basketball',photo,https://www.facebook.com/nikebasketball/photos/a.10150341043401309.350618.5941596308/10150341046571309/?type=3,2011-10-23 19:01:36,0,73,38
15087023444_10150327964568445,"b""Today, 22,500 fierce women lined up in San Francisco for the Nike Women's Marathon. In eight years, the Nike Women's Marathon has helped to raise over $118 million for the Leukemia and Lymphoma Society and outrun disease. Crossing the finish line has never felt so good.\n\nWhat inspires you to hit the road and keep pushing forward?""",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150327964533445/?type=3,2011-10-16 17:09:04,0,207,181
15087023444_148674221894811,"b""It\xe2\x80\x99s LIVESTRONG Day, a day when we pledge our support to the global fight against cancer. We wear yellow with pride and we hope you'll join us. But why stop there? Check out the *new* Team LIVESTRONG feature on the Nike BOOM app, where you can raise money to support people who are battling cancer. \n\nDownload Nike BOOM to get started: bit.ly/hqt8KE\n\nTogether we can defeat this disease. """,b'Introducing Nike Boom for Team LIVESTRONG',video,http://www.youtube.com/watch?v=SCqCzn5uCCw,2011-10-02 11:29:52,0,327,165
15087023444_10150307370673445,"b""You can change the rules, but you can't change history.\n\nIn 2003, Paula Radcliffe ran the marathon in a world record time of 2:15:25. Now there is a rule which retroactively plans to strip her of her world record because she ran with men. http://sports.espn.go.com/espn/wire?section=trackandfield&id=7009372  \n\nWe think that\xe2\x80\x99s a bit\xe2\x80\xa6well\xe2\x80\xa6ridiculous. Think Paula\xe2\x80\x99s record should still stand? TAG YOURSELF in this photo to spread the word that #HISTORYSTANDS.""",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150307370643445/?type=3,2011-09-29 16:36:34,0,343,246
15087023444_10150299726958445,"b""The final Nike MAG live auction took place yesterday in Tokyo and raised just over $33,000! \n\nThank you to everyone who helped The Michael J. Fox Foundation for Parkinson's Research on their quest to eliminate Parkinson's.""",b'Timeline Photos',photo,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10150299726898445/?type=3,2011-09-23 12:26:58,0,222,58
15087023444_10150293440643445,,b'Nike MAG New York City event',photo,https://www.facebook.com/nike/photos/a.10150293436818445.346866.15087023444/10150293436898445/?type=3,2011-09-18 18:21:31,0,175,15
15087023444_10150293436943445,"b'SERIOUSLY\r\nLive auction event, New York City, Sept. 17\r\n\r\nChris Hornbecker Photography'",b'Nike MAG New York City event',photo,https://www.facebook.com/nike/photos/a.10150293436818445.346866.15087023444/10150293436943445/?type=3,2011-09-18 18:21:31,0,29,25
15087023444_10150293440643445,"b'FOOTWEAR\r\nLive auction event, New York City, Sept. 17\r\n\r\nChris Hornbecker Photography'",b'Nike MAG New York City event',photo,https://www.facebook.com/nike/photos/a.10150293436818445.346866.15087023444/10150293436898445/?type=3,2011-09-18 18:21:31,0,36,42
15087023444_10150292333078445,b'Chris Hornbecker Photography',b'Nike MAG Las Vegas event',photo,https://www.facebook.com/nike/photos/a.10150292328978445.346632.15087023444/10150292329148445/?type=3,2011-09-17 19:50:40,0,50,30
15087023444_10150292333078445,b'Chris Hornbecker Photography',b'Nike MAG Las Vegas event',photo,https://www.facebook.com/nike/photos/a.10150292328978445.346632.15087023444/10150292329148445/?type=3,2011-09-17 19:50:40,0,90,26
15087023444_259333327440265,b'Tinker Hatfield and Tiffany Beers show off the details of the 2011 Nike MAG.',b'2011 NIKE MAG | The Details',link,http://www.youtube.com/watch?v=36ceiCzupHE,2011-09-17 17:23:28,0,88,162
15087023444_10150289769403445,b'Nike MAG 21 Mercer event',b'Nike MAG 21 Mercer event',photo,https://www.facebook.com/nike/photos/a.10150289765443445.346163.15087023444/10150289765563445/?type=3,2011-09-15 15:18:29,0,28,18
15087023444_10150289766068445,b'Nike MAG 21 Mercer event',b'Nike MAG 21 Mercer event',photo,https://www.facebook.com/nike/photos/a.10150289765443445.346163.15087023444/10150289766068445/?type=3,2011-09-15 15:18:29,0,21,24
15087023444_10150289001213445,b'Nike MAG lapel pin and ceramic replica',b'Back For The Future pin and ceramic replica',photo,https://www.facebook.com/nike/photos/a.10150289001153445.346024.15087023444/10150289001213445/?type=3,2011-09-14 22:59:25,0,86,198
15087023444_10150289001263445,b'Nike MAG lapel pin',b'Back For The Future pin and ceramic replica',photo,https://www.facebook.com/nike/photos/a.10150289001153445.346024.15087023444/10150289001263445/?type=3,2011-09-14 22:59:25,0,47,35
15087023444_10150282910908445,,b'Original Back 4 The Future Poster Art',photo,https://www.facebook.com/nike/photos/a.10150282907283445.344677.15087023444/10150282910908445/?type=3,2011-09-09 20:25:34,0,20,15
15087023444_10150282908963445,,b'Original Back 4 The Future Poster Art',photo,https://www.facebook.com/nike/photos/a.10150282907283445.344677.15087023444/10150282908963445/?type=3,2011-09-09 20:25:34,0,11,19
15087023444_10150282912673445,b'Print',b'Original Back 4 The Future Poster Art',photo,https://www.facebook.com/nike/photos/a.10150282907283445.344677.15087023444/10150282912673445/?type=3,2011-09-09 20:25:34,0,10,37
15087023444_213067742086423,"b""This summer, Nike 6.0's Chosen crew video contest was a serious highlight. Thousands from surf, skate and BMX put their skill and creativity center stage for a shot at glory. After 2 rounds of voting, 28 Nike athletes picked FUS-Crew from Germany as the winner.\n\nWatch to see how the action unfolded and let us know: What's your sport triumph of the summer?\n\n(And if snow's more your thing, we've got you covered. Stay tuned for the winter Chosen later this fall.)""",b'Nike Chosen Crew Contest Final Recap',video,http://www.youtube.com/watch?v=57IrhtYSi60,2011-09-08 14:56:21,0,36,0
15087023444_245542272151105,b'Saturdays in September. You know what that means. College football is back. One more day.',b'2011 Nike Pro Combat || College Football Is Back',video,http://www.youtube.com/watch?v=zGD6OvsEchw,2011-09-02 19:24:50,0,130,4
